"Protein.name","Genes","UniProtKB.AC","Search","Path"
"Endothelin-converting enzyme 1 (ECE-1) (EC 3.4.24.71)","ECE1","P42892","endothelin-converting enzyme 1 (ece-1) (ec 3.4.24.71) ece1 p42892","data/Array_objects_single_proteins/Array_object_P42892.rds"
"Excitatory amino acid transporter 1 (Sodium-dependent glutamate/aspartate transporter 1) (GLAST-1) (Solute carrier family 1 member 3)","SLC1A3 EAAT1 GLAST GLAST1","P43003","excitatory amino acid transporter 1 (sodium-dependent glutamate/aspartate transporter 1) (glast-1) (solute carrier family 1 member 3) slc1a3 eaat1 glast glast1 p43003","data/Array_objects_single_proteins/Array_object_P43003.rds"
"Excitatory amino acid transporter 2 (Glutamate/aspartate transporter II) (Sodium-dependent glutamate/aspartate transporter 2) (Solute carrier family 1 member 2)","SLC1A2 EAAT2 GLT1","P43004","excitatory amino acid transporter 2 (glutamate/aspartate transporter ii) (sodium-dependent glutamate/aspartate transporter 2) (solute carrier family 1 member 2) slc1a2 eaat2 glt1 p43004","data/Array_objects_single_proteins/Array_object_P43004.rds"
"Excitatory amino acid transporter 3 (Excitatory amino-acid carrier 1) (Neuronal and epithelial glutamate transporter) (Sodium-dependent glutamate/aspartate transporter 3) (Solute carrier family 1 member 1)","SLC1A1 EAAC1 EAAT3","P43005","excitatory amino acid transporter 3 (excitatory amino-acid carrier 1) (neuronal and epithelial glutamate transporter) (sodium-dependent glutamate/aspartate transporter 3) (solute carrier family 1 member 1) slc1a1 eaac1 eaat3 p43005","data/Array_objects_single_proteins/Array_object_P43005.rds"
"Neutral amino acid transporter A (Alanine/serine/cysteine/threonine transporter 1) (ASCT-1) (SATT) (Solute carrier family 1 member 4)","SLC1A4 ASCT1 SATT","P43007","neutral amino acid transporter a (alanine/serine/cysteine/threonine transporter 1) (asct-1) (satt) (solute carrier family 1 member 4) slc1a4 asct1 satt p43007","data/Array_objects_single_proteins/Array_object_P43007.rds"
"Prostaglandin F2-alpha receptor (PGF receptor) (PGF2-alpha receptor) (Prostanoid FP receptor)","PTGFR","P43088","prostaglandin f2-alpha receptor (pgf receptor) (pgf2-alpha receptor) (prostanoid fp receptor) ptgfr p43088","data/Array_objects_single_proteins/Array_object_P43088.rds"
"Prostaglandin E2 receptor EP3 subtype (PGE receptor EP3 subtype) (PGE2 receptor EP3 subtype) (PGE2-R) (Prostanoid EP3 receptor)","PTGER3","P43115","prostaglandin e2 receptor ep3 subtype (pge receptor ep3 subtype) (pge2 receptor ep3 subtype) (pge2-r) (prostanoid ep3 receptor) ptger3 p43115","data/Array_objects_single_proteins/Array_object_P43115.rds"
"Prostaglandin E2 receptor EP2 subtype (PGE receptor EP2 subtype) (PGE2 receptor EP2 subtype) (Prostanoid EP2 receptor)","PTGER2","P43116","prostaglandin e2 receptor ep2 subtype (pge receptor ep2 subtype) (pge2 receptor ep2 subtype) (prostanoid ep2 receptor) ptger2 p43116","data/Array_objects_single_proteins/Array_object_P43116.rds"
"Prostacyclin receptor (Prostaglandin I2 receptor) (PGI receptor) (PGI2 receptor) (Prostanoid IP receptor)","PTGIR PRIPR","P43119","prostacyclin receptor (prostaglandin i2 receptor) (pgi receptor) (pgi2 receptor) (prostanoid ip receptor) ptgir pripr p43119","data/Array_objects_single_proteins/Array_object_P43119.rds"
"Cell surface glycoprotein MUC18 (Cell surface glycoprotein P1H12) (Melanoma cell adhesion molecule) (Melanoma-associated antigen A32) (Melanoma-associated antigen MUC18) (S-endo 1 endothelial-associated antigen) (CD antigen CD146)","MCAM MUC18","P43121","cell surface glycoprotein muc18 (cell surface glycoprotein p1h12) (melanoma cell adhesion molecule) (melanoma-associated antigen a32) (melanoma-associated antigen muc18) (s-endo 1 endothelial-associated antigen) (cd antigen cd146) mcam muc18 p43121","data/Array_objects_single_proteins/Array_object_P43121.rds"
"Netrin receptor DCC (Colorectal cancer suppressor) (Immunoglobulin superfamily DCC subclass member 1) (Tumor suppressor protein DCC)","DCC IGDCC1","P43146","netrin receptor dcc (colorectal cancer suppressor) (immunoglobulin superfamily dcc subclass member 1) (tumor suppressor protein dcc) dcc igdcc1 p43146","data/Array_objects_single_proteins/Array_object_P43146.rds"
"Glucagon-like peptide 1 receptor (GLP-1 receptor) (GLP-1-R) (GLP-1R)","GLP1R","P43220","glucagon-like peptide 1 receptor (glp-1 receptor) (glp-1-r) (glp-1r) glp1r p43220","data/Array_objects_single_proteins/Array_object_P43220.rds"
"Translocon-associated protein subunit alpha (TRAP-alpha) (Signal sequence receptor subunit alpha) (SSR-alpha)","SSR1 TRAPA PSEC0262","P43307","translocon-associated protein subunit alpha (trap-alpha) (signal sequence receptor subunit alpha) (ssr-alpha) ssr1 trapa psec0262 p43307","data/Array_objects_single_proteins/Array_object_P43307.rds"
"Tumor necrosis factor receptor superfamily member 4 (ACT35 antigen) (OX40L receptor) (TAX transcriptionally-activated glycoprotein 1 receptor) (CD antigen CD134)","TNFRSF4 TXGP1L","P43489","tumor necrosis factor receptor superfamily member 4 (act35 antigen) (ox40l receptor) (tax transcriptionally-activated glycoprotein 1 receptor) (cd antigen cd134) tnfrsf4 txgp1l p43489","data/Array_objects_single_proteins/Array_object_P43489.rds"
"Killer cell immunoglobulin-like receptor 2DL1 (CD158 antigen-like family member A) (MHC class I NK cell receptor) (Natural killer-associated transcript 1) (NKAT-1) (p58 natural killer cell receptor clones CL-42/47.11) (p58 NK receptor CL-42/47.11) (p58.1 MHC class-I-specific NK receptor) (CD antigen CD158a)","KIR2DL1 CD158A NKAT1","P43626","killer cell immunoglobulin-like receptor 2dl1 (cd158 antigen-like family member a) (mhc class i nk cell receptor) (natural killer-associated transcript 1) (nkat-1) (p58 natural killer cell receptor clones cl-42/47.11) (p58 nk receptor cl-42/47.11) (p58.1 mhc class-i-specific nk receptor) (cd antigen cd158a) kir2dl1 cd158a nkat1 p43626","data/Array_objects_single_proteins/Array_object_P43626.rds"
"Killer cell immunoglobulin-like receptor 2DL2 (CD158 antigen-like family member B1) (MHC class I NK cell receptor) (Natural killer-associated transcript 6) (NKAT-6) (p58 natural killer cell receptor clone CL-43) (p58 NK receptor CL-43) (CD antigen CD158b1)","KIR2DL2 CD158B1 NKAT6","P43627","killer cell immunoglobulin-like receptor 2dl2 (cd158 antigen-like family member b1) (mhc class i nk cell receptor) (natural killer-associated transcript 6) (nkat-6) (p58 natural killer cell receptor clone cl-43) (p58 nk receptor cl-43) (cd antigen cd158b1) kir2dl2 cd158b1 nkat6 p43627","data/Array_objects_single_proteins/Array_object_P43627.rds"
"Killer cell immunoglobulin-like receptor 2DL3 (CD158 antigen-like family member B2) (KIR-023GB) (Killer inhibitory receptor cl 2-3) (MHC class I NK cell receptor) (NKAT2a) (NKAT2b) (Natural killer-associated transcript 2) (NKAT-2) (p58 natural killer cell receptor clone CL-6) (p58 NK receptor CL-6) (p58.2 MHC class-I-specific NK receptor) (CD antigen CD158b2)","KIR2DL3 CD158B2 KIRCL23 NKAT2","P43628","killer cell immunoglobulin-like receptor 2dl3 (cd158 antigen-like family member b2) (kir-023gb) (killer inhibitory receptor cl 2-3) (mhc class i nk cell receptor) (nkat2a) (nkat2b) (natural killer-associated transcript 2) (nkat-2) (p58 natural killer cell receptor clone cl-6) (p58 nk receptor cl-6) (p58.2 mhc class-i-specific nk receptor) (cd antigen cd158b2) kir2dl3 cd158b2 kircl23 nkat2 p43628","data/Array_objects_single_proteins/Array_object_P43628.rds"
"Killer cell immunoglobulin-like receptor 3DL1 (CD158 antigen-like family member E) (HLA-BW4-specific inhibitory NK cell receptor) (MHC class I NK cell receptor) (Natural killer-associated transcript 3) (NKAT-3) (p70 natural killer cell receptor clones CL-2/CL-11) (p70 NK receptor CL-2/CL-11) (CD antigen CD158e)","KIR3DL1 CD158E NKAT3 NKB1","P43629","killer cell immunoglobulin-like receptor 3dl1 (cd158 antigen-like family member e) (hla-bw4-specific inhibitory nk cell receptor) (mhc class i nk cell receptor) (natural killer-associated transcript 3) (nkat-3) (p70 natural killer cell receptor clones cl-2/cl-11) (p70 nk receptor cl-2/cl-11) (cd antigen cd158e) kir3dl1 cd158e nkat3 nkb1 p43629","data/Array_objects_single_proteins/Array_object_P43629.rds"
"Killer cell immunoglobulin-like receptor 3DL2 (CD158 antigen-like family member K) (MHC class I NK cell receptor) (Natural killer-associated transcript 4) (NKAT-4) (p70 natural killer cell receptor clone CL-5) (p70 NK receptor CL-5) (CD antigen CD158k)","KIR3DL2 CD158K NKAT4","P43630","killer cell immunoglobulin-like receptor 3dl2 (cd158 antigen-like family member k) (mhc class i nk cell receptor) (natural killer-associated transcript 4) (nkat-4) (p70 natural killer cell receptor clone cl-5) (p70 nk receptor cl-5) (cd antigen cd158k) kir3dl2 cd158k nkat4 p43630","data/Array_objects_single_proteins/Array_object_P43630.rds"
"Killer cell immunoglobulin-like receptor 2DS2 (CD158 antigen-like family member J) (MHC class I NK cell receptor) (NK receptor 183 ActI) (Natural killer-associated transcript 5) (NKAT-5) (p58 natural killer cell receptor clone CL-49) (p58 NK receptor CL-49) (CD antigen CD158j)","KIR2DS2 CD158J NKAT5","P43631","killer cell immunoglobulin-like receptor 2ds2 (cd158 antigen-like family member j) (mhc class i nk cell receptor) (nk receptor 183 acti) (natural killer-associated transcript 5) (nkat-5) (p58 natural killer cell receptor clone cl-49) (p58 nk receptor cl-49) (cd antigen cd158j) kir2ds2 cd158j nkat5 p43631","data/Array_objects_single_proteins/Array_object_P43631.rds"
"Killer cell immunoglobulin-like receptor 2DS4 (CD158 antigen-like family member I) (MHC class I NK cell receptor) (Natural killer-associated transcript 8) (NKAT-8) (P58 natural killer cell receptor clones CL-39/CL-17) (p58 NK receptor CL-39/CL-17) (CD antigen CD158i)","KIR2DS4 CD158I KKA3 NKAT8","P43632","killer cell immunoglobulin-like receptor 2ds4 (cd158 antigen-like family member i) (mhc class i nk cell receptor) (natural killer-associated transcript 8) (nkat-8) (p58 natural killer cell receptor clones cl-39/cl-17) (p58 nk receptor cl-39/cl-17) (cd antigen cd158i) kir2ds4 cd158i kka3 nkat8 p43632","data/Array_objects_single_proteins/Array_object_P43632.rds"
"Lysophosphatidic acid receptor 6 (LPA receptor 6) (LPA-6) (Oleoyl-L-alpha-lysophosphatidic acid receptor) (P2Y purinoceptor 5) (P2Y5) (Purinergic receptor 5) (RB intron encoded G-protein coupled receptor)","LPAR6 P2RY5","P43657","lysophosphatidic acid receptor 6 (lpa receptor 6) (lpa-6) (oleoyl-l-alpha-lysophosphatidic acid receptor) (p2y purinoceptor 5) (p2y5) (purinergic receptor 5) (rb intron encoded g-protein coupled receptor) lpar6 p2ry5 p43657","data/Array_objects_single_proteins/Array_object_P43657.rds"
"ATP-binding cassette sub-family G member 1 (EC 7.6.2.-) (ATP-binding cassette transporter 8) (White protein homolog)","ABCG1 ABC8 WHT1","P45844","atp-binding cassette sub-family g member 1 (ec 7.6.2.-) (atp-binding cassette transporter 8) (white protein homolog) abcg1 abc8 wht1 p45844","data/Array_objects_single_proteins/Array_object_P45844.rds"
"Solute carrier family 15 member 1 (Intestinal H(+)/peptide cotransporter) (Oligopeptide transporter, small intestine isoform) (Peptide transporter 1)","SLC15A1 PEPT1","P46059","solute carrier family 15 member 1 (intestinal h(+)/peptide cotransporter) (oligopeptide transporter, small intestine isoform) (peptide transporter 1) slc15a1 pept1 p46059","data/Array_objects_single_proteins/Array_object_P46059.rds"
"G-protein coupled receptor 3 (ACCA orphan receptor)","GPR3 ACCA","P46089","g-protein coupled receptor 3 (acca orphan receptor) gpr3 acca p46089","data/Array_objects_single_proteins/Array_object_P46089.rds"
"G-protein coupled receptor 1","GPR1","P46091","g-protein coupled receptor 1 gpr1 p46091","data/Array_objects_single_proteins/Array_object_P46091.rds"
"C-C chemokine receptor type 10 (C-C CKR-10) (CC-CKR-10) (CCR-10) (G-protein coupled receptor 2)","CCR10 GPR2","P46092","c-c chemokine receptor type 10 (c-c ckr-10) (cc-ckr-10) (ccr-10) (g-protein coupled receptor 2) ccr10 gpr2 p46092","data/Array_objects_single_proteins/Array_object_P46092.rds"
"G-protein coupled receptor 4 (G-protein coupled receptor 6C.l) (GPR6C.l)","GPR4","P46093","g-protein coupled receptor 4 (g-protein coupled receptor 6c.l) (gpr6c.l) gpr4 p46093","data/Array_objects_single_proteins/Array_object_P46093.rds"
"Chemokine XC receptor 1 (G-protein coupled receptor 5) (Lymphotactin receptor) (XC chemokine receptor 1)","XCR1 CCXCR1 GPR5","P46094","chemokine xc receptor 1 (g-protein coupled receptor 5) (lymphotactin receptor) (xc chemokine receptor 1) xcr1 ccxcr1 gpr5 p46094","data/Array_objects_single_proteins/Array_object_P46094.rds"
"G-protein coupled receptor 6 (Sphingosine 1-phosphate receptor GPR6)","GPR6","P46095","g-protein coupled receptor 6 (sphingosine 1-phosphate receptor gpr6) gpr6 p46095","data/Array_objects_single_proteins/Array_object_P46095.rds"
"Neurogenic locus notch homolog protein 1 (Notch 1) (hN1) (Translocation-associated notch protein TAN-1) [Cleaved into: Notch 1 extracellular truncation (NEXT); Notch 1 intracellular domain (NICD)]","NOTCH1 TAN1","P46531","neurogenic locus notch homolog protein 1 (notch 1) (hn1) (translocation-associated notch protein tan-1) [cleaved into: notch 1 extracellular truncation (next); notch 1 intracellular domain (nicd)] notch1 tan1 p46531","data/Array_objects_single_proteins/Array_object_P46531.rds"
"B1 bradykinin receptor (B1R) (BK-1 receptor)","BDKRB1 BRADYB1","P46663","b1 bradykinin receptor (b1r) (bk-1 receptor) bdkrb1 bradyb1 p46663","data/Array_objects_single_proteins/Array_object_P46663.rds"
"Radiation-inducible immediate-early gene IEX-1 (Differentiation-dependent gene 2 protein) (Protein DIF-2) (Immediate early protein GLY96) (Immediate early response 3 protein) (PACAP-responsive gene 1 protein) (Protein PRG1)","IER3 DIF2 IEX1 PRG1","P46695","radiation-inducible immediate-early gene iex-1 (differentiation-dependent gene 2 protein) (protein dif-2) (immediate early protein gly96) (immediate early response 3 protein) (pacap-responsive gene 1 protein) (protein prg1) ier3 dif2 iex1 prg1 p46695","data/Array_objects_single_proteins/Array_object_P46695.rds"
"Solute carrier organic anion transporter family member 1A2 (OATP-A) (Organic anion-transporting polypeptide 1) (OATP-1) (Sodium-independent organic anion transporter) (Solute carrier family 21 member 3)","SLCO1A2 OATP OATP1 OATP1A2 SLC21A3","P46721","solute carrier organic anion transporter family member 1a2 (oatp-a) (organic anion-transporting polypeptide 1) (oatp-1) (sodium-independent organic anion transporter) (solute carrier family 21 member 3) slco1a2 oatp oatp1 oatp1a2 slc21a3 p46721","data/Array_objects_single_proteins/Array_object_P46721.rds"
"Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A (Oligosaccharyl transferase subunit STT3A) (STT3-A) (EC 2.4.99.18) (B5) (Integral membrane protein 1) (Transmembrane protein TMC)","STT3A ITM1 TMC","P46977","dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit stt3a (oligosaccharyl transferase subunit stt3a) (stt3-a) (ec 2.4.99.18) (b5) (integral membrane protein 1) (transmembrane protein tmc) stt3a itm1 tmc p46977","data/Array_objects_single_proteins/Array_object_P46977.rds"
"Galanin receptor type 1 (GAL1-R) (GALR-1)","GALR1 GALNR GALNR1","P47211","galanin receptor type 1 (gal1-r) (galr-1) galr1 galnr galnr1 p47211","data/Array_objects_single_proteins/Array_object_P47211.rds"
"G-protein coupled receptor 12","GPR12","P47775","g-protein coupled receptor 12 gpr12 p47775","data/Array_objects_single_proteins/Array_object_P47775.rds"
"RPE-retinal G protein-coupled receptor","RGR","P47804","rpe-retinal g protein-coupled receptor rgr p47804","data/Array_objects_single_proteins/Array_object_P47804.rds"
"Glucagon receptor (GL-R)","GCGR","P47871","glucagon receptor (gl-r) gcgr p47871","data/Array_objects_single_proteins/Array_object_P47871.rds"
"Secretin receptor (SCT-R)","SCTR","P47872","secretin receptor (sct-r) sctr p47872","data/Array_objects_single_proteins/Array_object_P47872.rds"
"Olfactory receptor 3A1 (Olfactory receptor 17-40) (OR17-40) (Olfactory receptor OR17-15)","OR3A1 OLFRA03","P47881","olfactory receptor 3a1 (olfactory receptor 17-40) (or17-40) (olfactory receptor or17-15) or3a1 olfra03 p47881","data/Array_objects_single_proteins/Array_object_P47881.rds"
"Putative olfactory receptor 3A4 (Olfactory receptor 17-24) (OR17-24) (Olfactory receptor 3A5)","OR3A4P OR3A4 OR3A5P","P47883","putative olfactory receptor 3a4 (olfactory receptor 17-24) (or17-24) (olfactory receptor 3a5) or3a4p or3a4 or3a5p p47883","data/Array_objects_single_proteins/Array_object_P47883.rds"
"Olfactory receptor 1D4 (Olfactory receptor 17-30) (OR17-30)","OR1D4","P47884","olfactory receptor 1d4 (olfactory receptor 17-30) (or17-30) or1d4 p47884","data/Array_objects_single_proteins/Array_object_P47884.rds"
"Olfactory receptor 1E2 (Olfactory receptor 17-93/17-135/17-136) (OR17-135) (OR17-136) (OR17-93) (Olfactory receptor 1E4)","OR1E2 OR1E4","P47887","olfactory receptor 1e2 (olfactory receptor 17-93/17-135/17-136) (or17-135) (or17-136) (or17-93) (olfactory receptor 1e4) or1e2 or1e4 p47887","data/Array_objects_single_proteins/Array_object_P47887.rds"
"Olfactory receptor 3A3 (Olfactory receptor 17-201) (OR17-201) (Olfactory receptor 3A6) (Olfactory receptor 3A7) (Olfactory receptor 3A8) (Olfactory receptor OR17-22)","OR3A3 OR3A6 OR3A7 OR3A8P","P47888","olfactory receptor 3a3 (olfactory receptor 17-201) (or17-201) (olfactory receptor 3a6) (olfactory receptor 3a7) (olfactory receptor 3a8) (olfactory receptor or17-22) or3a3 or3a6 or3a7 or3a8p p47888","data/Array_objects_single_proteins/Array_object_P47888.rds"
"Olfactory receptor 1G1 (Olfactory receptor 17-209) (OR17-209) (Olfactory receptor 1G2) (Olfactory receptor OR17-8)","OR1G1 OR1G2","P47890","olfactory receptor 1g1 (olfactory receptor 17-209) (or17-209) (olfactory receptor 1g2) (olfactory receptor or17-8) or1g1 or1g2 p47890","data/Array_objects_single_proteins/Array_object_P47890.rds"
"Olfactory receptor 3A2 (Olfactory receptor 17-228) (OR17-228) (Olfactory receptor OR17-14)","OR3A2 OLFRA04","P47893","olfactory receptor 3a2 (olfactory receptor 17-228) (or17-228) (olfactory receptor or17-14) or3a2 olfra04 p47893","data/Array_objects_single_proteins/Array_object_P47893.rds"
"5-hydroxytryptamine receptor 5A (5-HT-5) (5-HT-5A) (5-HT5A) (Serotonin receptor 5A)","HTR5A","P47898","5-hydroxytryptamine receptor 5a (5-ht-5) (5-ht-5a) (5-ht5a) (serotonin receptor 5a) htr5a p47898","data/Array_objects_single_proteins/Array_object_P47898.rds"
"P2Y purinoceptor 1 (P2Y1) (ADP receptor) (Purinergic receptor)","P2RY1","P47900","p2y purinoceptor 1 (p2y1) (adp receptor) (purinergic receptor) p2ry1 p47900","data/Array_objects_single_proteins/Array_object_P47900.rds"
"Vasopressin V1b receptor (V1bR) (AVPR V1b) (AVPR V3) (Antidiuretic hormone receptor 1b) (Vasopressin V3 receptor)","AVPR1B AVPR3 VPR3","P47901","vasopressin v1b receptor (v1br) (avpr v1b) (avpr v3) (antidiuretic hormone receptor 1b) (vasopressin v3 receptor) avpr1b avpr3 vpr3 p47901","data/Array_objects_single_proteins/Array_object_P47901.rds"
"Tumor necrosis factor ligand superfamily member 6 (Apoptosis antigen ligand) (APTL) (CD95 ligand) (CD95-L) (Fas antigen ligand) (Fas ligand) (FasL) (CD antigen CD178) [Cleaved into: Tumor necrosis factor ligand superfamily member 6, membrane form; Tumor necrosis factor ligand superfamily member 6, soluble form (Receptor-binding FasL ectodomain) (Soluble Fas ligand) (sFasL); ADAM10-processed FasL form (APL); FasL intracellular domain (FasL ICD) (SPPL2A-processed FasL form) (SPA)]","FASLG APT1LG1 CD95L FASL TNFSF6","P48023","tumor necrosis factor ligand superfamily member 6 (apoptosis antigen ligand) (aptl) (cd95 ligand) (cd95-l) (fas antigen ligand) (fas ligand) (fasl) (cd antigen cd178) [cleaved into: tumor necrosis factor ligand superfamily member 6, membrane form; tumor necrosis factor ligand superfamily member 6, soluble form (receptor-binding fasl ectodomain) (soluble fas ligand) (sfasl); adam10-processed fasl form (apl); fasl intracellular domain (fasl icd) (sppl2a-processed fasl form) (spa)] faslg apt1lg1 cd95l fasl tnfsf6 p48023","data/Array_objects_single_proteins/Array_object_P48023.rds"
"Sodium- and chloride-dependent creatine transporter 1 (CT1) (Creatine transporter 1) (Solute carrier family 6 member 8)","SLC6A8","P48029","sodium- and chloride-dependent creatine transporter 1 (ct1) (creatine transporter 1) (solute carrier family 6 member 8) slc6a8 p48029","data/Array_objects_single_proteins/Array_object_P48029.rds"
"Melatonin receptor type 1A (Mel-1A-R) (Mel1a receptor)","MTNR1A","P48039","melatonin receptor type 1a (mel-1a-r) (mel1a receptor) mtnr1a p48039","data/Array_objects_single_proteins/Array_object_P48039.rds"
"ATP-sensitive inward rectifier potassium channel 1 (ATP-regulated potassium channel ROM-K) (Inward rectifier K(+) channel Kir1.1) (Potassium channel, inwardly rectifying subfamily J member 1)","KCNJ1 ROMK1","P48048","atp-sensitive inward rectifier potassium channel 1 (atp-regulated potassium channel rom-k) (inward rectifier k(+) channel kir1.1) (potassium channel, inwardly rectifying subfamily j member 1) kcnj1 romk1 p48048","data/Array_objects_single_proteins/Array_object_P48048.rds"
"Inward rectifier potassium channel 4 (HIRK2) (HRK1) (Hippocampal inward rectifier) (HIR) (Inward rectifier K(+) channel Kir2.3) (IRK-3) (Potassium channel, inwardly rectifying subfamily J member 4)","KCNJ4 IRK3","P48050","inward rectifier potassium channel 4 (hirk2) (hrk1) (hippocampal inward rectifier) (hir) (inward rectifier k(+) channel kir2.3) (irk-3) (potassium channel, inwardly rectifying subfamily j member 4) kcnj4 irk3 p48050","data/Array_objects_single_proteins/Array_object_P48050.rds"
"G protein-activated inward rectifier potassium channel 2 (GIRK-2) (BIR1) (Inward rectifier K(+) channel Kir3.2) (KATP-2) (Potassium channel, inwardly rectifying subfamily J member 6)","KCNJ6 GIRK2 KATP2 KCNJ7","P48051","g protein-activated inward rectifier potassium channel 2 (girk-2) (bir1) (inward rectifier k(+) channel kir3.2) (katp-2) (potassium channel, inwardly rectifying subfamily j member 6) kcnj6 girk2 katp2 kcnj7 p48051","data/Array_objects_single_proteins/Array_object_P48051.rds"
"Glutamate receptor 4 (GluR-4) (GluR4) (AMPA-selective glutamate receptor 4) (GluR-D) (Glutamate receptor ionotropic, AMPA 4) (GluA4)","GRIA4 GLUR4","P48058","glutamate receptor 4 (glur-4) (glur4) (ampa-selective glutamate receptor 4) (glur-d) (glutamate receptor ionotropic, ampa 4) (glua4) gria4 glur4 p48058","data/Array_objects_single_proteins/Array_object_P48058.rds"
"Glioma pathogenesis-related protein 1 (GliPR 1) (Protein RTVP-1)","GLIPR1 GLIPR RTVP1","P48060","glioma pathogenesis-related protein 1 (glipr 1) (protein rtvp-1) glipr1 glipr rtvp1 p48060","data/Array_objects_single_proteins/Array_object_P48060.rds"
"Sodium- and chloride-dependent betaine transporter (BGT-1) (Na(+)/Cl(-) betaine/GABA transporter) (Solute carrier family 6 member 12)","SLC6A12","P48065","sodium- and chloride-dependent betaine transporter (bgt-1) (na(+)/cl(-) betaine/gaba transporter) (solute carrier family 6 member 12) slc6a12 p48065","data/Array_objects_single_proteins/Array_object_P48065.rds"
"Sodium- and chloride-dependent GABA transporter 3 (GAT-3) (Solute carrier family 6 member 11)","SLC6A11 GABT3 GAT3","P48066","sodium- and chloride-dependent gaba transporter 3 (gat-3) (solute carrier family 6 member 11) slc6a11 gabt3 gat3 p48066","data/Array_objects_single_proteins/Array_object_P48066.rds"
"Sodium- and chloride-dependent glycine transporter 1 (GlyT-1) (GlyT1) (Solute carrier family 6 member 9)","SLC6A9","P48067","sodium- and chloride-dependent glycine transporter 1 (glyt-1) (glyt1) (solute carrier family 6 member 9) slc6a9 p48067","data/Array_objects_single_proteins/Array_object_P48067.rds"
"Neuropeptides B/W receptor type 1 (G-protein coupled receptor 7)","NPBWR1 GPR7","P48145","neuropeptides b/w receptor type 1 (g-protein coupled receptor 7) npbwr1 gpr7 p48145","data/Array_objects_single_proteins/Array_object_P48145.rds"
"Neuropeptides B/W receptor type 2 (G-protein coupled receptor 8)","NPBWR2 GPR8","P48146","neuropeptides b/w receptor type 2 (g-protein coupled receptor 8) npbwr2 gpr8 p48146","data/Array_objects_single_proteins/Array_object_P48146.rds"
"Gap junction alpha-8 protein (Connexin-50) (Cx50) (Lens fiber protein MP70)","GJA8","P48165","gap junction alpha-8 protein (connexin-50) (cx50) (lens fiber protein mp70) gja8 p48165","data/Array_objects_single_proteins/Array_object_P48165.rds"
"ATP synthase F(0) complex subunit C3, mitochondrial (ATP synthase lipid-binding protein) (ATP synthase membrane subunit c locus 3) (ATP synthase proteolipid P3) (ATP synthase proton-transporting mitochondrial F(0) complex subunit C3) (ATPase protein 9) (ATPase subunit c)","ATP5MC3 ATP5G3","P48201","atp synthase f(0) complex subunit c3, mitochondrial (atp synthase lipid-binding protein) (atp synthase membrane subunit c locus 3) (atp synthase proteolipid p3) (atp synthase proton-transporting mitochondrial f(0) complex subunit c3) (atpase protein 9) (atpase subunit c) atp5mc3 atp5g3 p48201","data/Array_objects_single_proteins/Array_object_P48201.rds"
"Transmembrane 4 L6 family member 4 (Intestine and liver tetraspan membrane protein) (IL-TMP)","TM4SF4 ILTMP","P48230","transmembrane 4 l6 family member 4 (intestine and liver tetraspan membrane protein) (il-tmp) tm4sf4 iltmp p48230","data/Array_objects_single_proteins/Array_object_P48230.rds"
"Leptin receptor (LEP-R) (HuB219) (OB receptor) (OB-R) (CD antigen CD295)","LEPR DB OBR","P48357","leptin receptor (lep-r) (hub219) (ob receptor) (ob-r) (cd antigen cd295) lepr db obr p48357","data/Array_objects_single_proteins/Array_object_P48357.rds"
"CD151 antigen (GP27) (Membrane glycoprotein SFA-1) (Platelet-endothelial tetraspan antigen 3) (PETA-3) (Tetraspanin-24) (Tspan-24) (CD antigen CD151)","CD151 TSPAN24","P48509","cd151 antigen (gp27) (membrane glycoprotein sfa-1) (platelet-endothelial tetraspan antigen 3) (peta-3) (tetraspanin-24) (tspan-24) (cd antigen cd151) cd151 tspan24 p48509","data/Array_objects_single_proteins/Array_object_P48509.rds"
"G protein-activated inward rectifier potassium channel 4 (GIRK-4) (Cardiac inward rectifier) (CIR) (Heart KATP channel) (Inward rectifier K(+) channel Kir3.4) (IRK-4) (KATP-1) (Potassium channel, inwardly rectifying subfamily J member 5)","KCNJ5 GIRK4","P48544","g protein-activated inward rectifier potassium channel 4 (girk-4) (cardiac inward rectifier) (cir) (heart katp channel) (inward rectifier k(+) channel kir3.4) (irk-4) (katp-1) (potassium channel, inwardly rectifying subfamily j member 5) kcnj5 girk4 p48544","data/Array_objects_single_proteins/Array_object_P48544.rds"
"Gastric inhibitory polypeptide receptor (GIP-R) (Glucose-dependent insulinotropic polypeptide receptor)","GIPR","P48546","gastric inhibitory polypeptide receptor (gip-r) (glucose-dependent insulinotropic polypeptide receptor) gipr p48546","data/Array_objects_single_proteins/Array_object_P48546.rds"
"Potassium voltage-gated channel subfamily C member 1 (NGK2) (Voltage-gated potassium channel subunit Kv3.1) (Voltage-gated potassium channel subunit Kv4)","KCNC1","P48547","potassium voltage-gated channel subfamily c member 1 (ngk2) (voltage-gated potassium channel subunit kv3.1) (voltage-gated potassium channel subunit kv4) kcnc1 p48547","data/Array_objects_single_proteins/Array_object_P48547.rds"
